เป๊ปซี่,
ชาเขียวร้อน,
หมูคารูบิ&คุโรบูตะ 2,
คารูบิเซต 200กรัม,
เซตหมูคารูบิ 100กรัม,
เซตหมู&กุ้งลายเสื้อ2,
น้ำแข็ง,
ผักสลัด,
เซตหมูคารูบิ 300กรัม,
ซุปสาหร่ายวากาเมะ
